,Temperature,Revenue
0,24.56688442,534.7990284
1,26.00519115,625.1901215
2,27.79055388,660.6322888
3,20.59533505,487.7069603
4,11.50349764,316.2401944
5,14.35251388,367.9407438
6,13.70777988,308.8945179
7,30.83398474,696.7166402
8,0.976869989,55.39033824
9,31.66946458,737.8008241
10,11.45525338,325.9684084
11,3.664669577,71.16015301
12,18.81182403,467.4467066
13,13.62450892,289.5409341
14,39.53990899,905.4776043
15,18.48314099,469.9090332
16,25.93537514,648.2099977
17,42.51528041,921.508275
18,29.58948056,649.5611747
19,21.77594799,534.6228653
20,25.45783637,612.1539491
21,15.21456942,353.3256334
22,22.61931574,524.2361154
23,16.25872074,374.231135
24,23.88172478,523.1245467
25,18.97830025,473.6043349
26,15.6614643,402.4553204
27,29.18504465,679.3177906
28,19.02461092,517.5340283
29,35.12015142,809.6720534
30,24.18393726,528.3804165
31,15.23119012,356.0980075
32,8.790952808,237.7639106
33,18.23322784,418.1372788
34,35.62892497,809.4634112
35,37.05754246,870.7659159
36,22.28455032,550.2785159
37,17.51707397,405.6614459
38,31.7379196,740.9356848
39,17.04973761,501.7329901
40,23.0034888,539.6880057
41,8.755553938,242.2362083
42,18.77535808,421.621505
43,14.10966102,358.0028493
44,18.63391286,467.631063
45,15.67648661,396.9356482
46,20.94791347,500.9250645
47,30.6353071,651.8615363
48,20.47359412,451.4507843
49,31.22898848,697.8339862
50,6.393834627,190.7109408
51,27.18581031,621.1897304
52,28.63373276,666.1368355
53,27.99922248,628.4532107
54,10.32638937,219.3039932
55,27.31281141,623.5988607
56,33.23567229,749.3671543
57,36.56911506,827.6848313
58,12.46293731,303.7343815
59,14.37969698,351.2888691
60,16.30255473,381.5641352
61,11.56964367,321.8482734
62,33.55141872,774.1080813
63,3.986523168,131.6570175
64,20.51163741,498.7570498
65,6.542514397,195.7357217
66,19.81753939,496.0112948
67,11.69453767,284.7727889
68,21.4881766,483.4897686
69,18.77353222,430.3439033
70,12.68842965,276.787086
71,27.88711086,627.2912952
72,26.9567197,643.6486011
73,27.37540101,623.2487008
74,24.10161613,586.150568
75,28.7901015,653.9867356
76,40.47398918,918.3912316
77,25.54596553,591.1733898
78,28.70127646,651.1862423
79,29.4637861,682.7528689
80,16.02097541,372.9906055
81,14.73955066,381.8030138
82,22.17119887,515.4591017
83,29.03573877,685.3623881
84,29.20971484,654.7474611
85,16.36494499,406.5792487
86,27.78049953,643.9443266
87,13.33060576,344.6887652
88,29.3050392,642.2272909
89,14.3840835,361.1191443
90,30.42779184,704.2814391
91,9.073838248,222.8723171
92,23.07061587,543.5995933
93,8.586948141,221.2232906
94,12.35208102,337.1190252
95,9.018860236,212.5917401
96,20.26501213,474.7493924
97,19.36315346,460.4025002
98,14.6859445,343.3629045
99,9.95435701,283.8343266
100,19.97746731,468.9751034
101,32.00416835,711.1740653
102,14.28719594,322.592741
103,17.65850231,401.4330183
104,26.59505405,627.9018411
105,17.26218112,415.8176744
106,23.76143592,553.4452906
107,15.58806128,362.5152155
108,28.43656665,643.7883311
109,27.72739922,651.5043041
110,25.41930193,603.0371179
111,18.4750345,427.2113597
112,24.24311263,565.8749999
113,31.66848495,733.215828
114,17.69003162,385.6725008
115,31.8914678,689.930778
116,25.925171,572.0812915
117,29.31201255,719.4717014
118,11.05909651,306.7499304
119,25.49662411,596.2366902
120,22.94031709,540.798122
121,12.90177331,341.8593529
122,28.26283094,655.4339792
123,30.56266124,702.9017171
124,12.57151377,319.3494624
125,19.05928653,450.4732071
126,15.99234716,382.0739541
127,26.18796989,674.1506442
128,31.41262876,731.5982226
129,32.29733128,751.0545702
130,21.6967827,496.0119175
131,20.47502254,417.3548387
132,19.43326763,448.4713348
133,20.12955049,477.2950539
134,6.093897205,158.8498064
135,22.84197048,516.5486011
136,24.58590837,599.3649136
137,28.54798741,656.6365226
138,19.77936855,507.35681
139,12.4508333,279.866148
140,36.70257212,841.1714271
141,19.62265889,483.3330784
142,32.40924246,739.3872716
143,19.26778542,486.4749845
144,19.72807749,456.524341
145,8.638075893,241.2785475
146,29.43057848,618.2357655
147,19.25165371,446.9466515
148,24.61523866,603.0913818
149,12.44265041,274.0656189
150,24.54855656,531.7424848
151,12.20968364,297.4991195
152,12.26588434,319.4029032
153,19.75470829,493.7103332
154,23.34903419,586.1387673
155,21.14404693,497.7523178
156,18.88035599,476.7945251
157,28.2717647,625.8046425
158,16.40602096,390.4033487
159,28.99373705,675.8289158
